otuname	Ev01	Ev02	Ev03	Ev04	Ev05	Ev06	Ev07	Ev08	Ev09	Ev10	Pd01	Pd02	Pd03	Pd04	Pd05	Pd06	Pd07	Pd08	Pd09	Pd10	Domain	Phylum	Class	Order	Family	Genus	Species
Zotu72	0	0	0	0	0	0	0	0	0	0	0	25	0	9	0	39	1	50	6	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	sphaerotilaceae	roseateles	roseateles_saccharophilus
Zotu73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	bacteria	pseudomonadota	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas_thermotolerans
Zotu74	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	moraxellales	moraxellaceae	acinetobacter	acinetobacter_lwoffii
Zotu76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	bacteria	bacillota	bacilli	bacillales	bacillaceae	virgibacillus	virgibacillus_marismortui
Zotu77	0	3	0	1	1	21	31	6	9	20	0	0	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	alphaproteobacteria	rhodospirillales	thalassospiraceae	thalassospira	thalassospira_lucentensis
Zotu78	0	13	3	1	0	10	0	8	0	37	0	0	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	alphaproteobacteria	rhodospirillales	rhodospirillaceae	marivibrio	marivibrio_halodurans
Zotu79	0	0	0	1	0	0	0	0	0	0	0	0	0	26	1	0	0	0	0	58	bacteria	actinomycetota	actinomycetes	micrococcales	intrasporangiaceae	janibacter	janibacter_melonis
Zotu80	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	bacteria	planctomycetota	planctomycetia	pirellulales	pirellulaceae	aureliella	aureliella_helgolandensis
Zotu81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	bacteria	actinomycetota	actinomycetes	bifidobacteriales	bifidobacteriaceae	bifidobacterium	bifidobacterium_porcinum
Zotu82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiales	tepidimonas	tepidimonas_arfidensis
Zotu83	0	0	0	0	0	0	0	1	0	1	0	0	0	0	18	0	80	3	0	0	bacteria	pseudomonadota	alphaproteobacteria	rhodobacterales	paracoccaceae	paracoccus	paracoccus_aminovorans
Zotu84	0	0	0	0	1	2	0	0	3	0	4	0	0	0	0	0	0	0	82	0	bacteria	pseudomonadota	alphaproteobacteria	hyphomicrobiales	phyllobacteriaceae	mesorhizobium	mesorhizobium_plurifarium
Zotu85	0	0	0	0	5	0	0	0	13	0	10	16	5	0	26	0	0	15	0	0	bacteria	pseudomonadota	alphaproteobacteria	hyphomicrobiales	rhizobiaceae	rhizobium	rhizobium_etli
Zotu86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	75	0	0	0	2	bacteria	pseudomonadota	alphaproteobacteria	hyphomicrobiales	rhizobiaceae	rhizobium	rhizobium_qilianshanense
Zotu88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	bacteria	pseudomonadota	gammaproteobacteria	oceanospirillales	endozoicomonadaceae	kistimonas	kistimonas_scapharcae
Zotu89	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	38	0	0	24	5	bacteria	bacillota	bacilli	lactobacillales	enterococcaceae	enterococcus	enterococcus_cecorum
Zotu90	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	bacteria	acidobacteriota	terriglobia	terriglobales	acidobacteriaceae	granulicella	granulicella_paludicola
Zotu91	0	0	0	0	0	0	0	0	0	0	12	22	0	26	0	0	0	5	0	0	bacteria	bacteroidota	cytophagia	cytophagales	hymenobacteraceae	nibribacter	nibribacter_koreensis
Zotu92	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	bacteria	pseudomonadota	alphaproteobacteria	sphingomonadales	erythrobacteraceae	croceibacterium	croceibacterium_mercuriale
Zotu93	0	0	0	0	1	0	0	0	0	0	0	68	0	0	0	5	5	0	0	6	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	burkholderia	burkholderia_terricola
Zotu95	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	50	3	0	0	0	bacteria	actinomycetota	actinomycetes	mycobacteriales	lawsonellaceae	lawsonella	lawsonella_clevelandensis
Zotu96	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	alphaproteobacteria	hyphomicrobiales	reyranellaceae	reyranella	reyranella_aquatilis
Zotu97	0	0	0	0	1	0	0	1	0	3	8	49	0	12	50	51	9	83	16	15	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	ralstonia	ralstonia_syzygii
Zotu98	2	2	0	0	0	0	5	0	0	0	0	29	3	0	1	0	0	36	0	0	bacteria	pseudomonadota	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas_parafulva
Zotu100	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	9	0	0	3	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_graminis
Zotu102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	bacteria	pseudomonadota	alphaproteobacteria	rhodobacterales	paracoccaceae	paracoccus	paracoccus_sanguinis
Zotu104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	bacteria	bacteroidota	sphingobacteriia	sphingobacteriales	sphingobacteriaceae	sphingobacterium	sphingobacterium_thermophilum
Zotu106	0	0	0	0	0	1	0	0	0	0	28	0	13	2	0	0	0	0	7	0	bacteria	pseudomonadota	gammaproteobacteria	legionellales	legionellaceae	legionella	legionella_steelei
Zotu107	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	48	0	10	0	bacteria	pseudomonadota	alphaproteobacteria	rhodobacterales	paracoccaceae	paracoccus	paracoccus_yeei
Zotu108	0	0	0	0	0	0	0	0	0	0	0	6	0	0	49	1	0	0	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	oxalobacteraceae	massilia	massilia_varians
Zotu109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	bacteria	pseudomonadota	alphaproteobacteria	hyphomicrobiales	beijerinckiaceae	rhodoblastus	rhodoblastus_sphagnicola
Zotu110	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	deltaproteobacteria	myxococcales	kofleriaceae	haliangium	haliangium_ochraceum
