otuname	Ev01	Ev02	Ev03	Ev04	Ev05	Ev06	Ev07	Ev08	Ev09	Ev10	Pd01	Pd02	Pd03	Pd04	Pd05	Pd06	Pd07	Pd08	Pd09	Pd10	Domain	Phylum	Class	Order	Family	Genus	Species
Zotu189	0	0	0	0	3	0	3	0	2	0	0	0	0	0	0	0	0	0	7	0	bacteria	bacteroidota	flavobacteriia	flavobacteriales	weeksellaceae	cloacibacterium	cloacibacterium_normanense
Zotu190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	bacteria	pseudomonadota	gammaproteobacteria	oceanospirillales	oceanospirillaceae	marinomonas	marinomonas_blandensis
Zotu191	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	1	12	1	3	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_tuberum
Zotu192	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	2	0	0	20	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_sacchari
Zotu193	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	bacteria	actinomycetota	actinomycetes	mycobacteriales	mycobacteriaceae	mycolicibacterium	mycolicibacterium_mucogenicum
Zotu195	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	bacteria	actinomycetota	actinomycetes	actinomycetales	actinomycetaceae	actinomyces	actinomyces_polynesiensis
Zotu197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_fungorum
Zotu198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	bacteria	pseudomonadota	alphaproteobacteria	rhodobacterales	roseobacteraceae	roseobacter	roseobacter_litoralis
Zotu199	0	0	0	0	0	0	0	0	0	0	1	19	0	3	0	16	0	41	3	1	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	sphaerotilaceae	roseateles	roseateles_saccharophilus
Zotu200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	bacteria	bacteroidota	flavobacteriia	flavobacteriales	flavobacteriaceae	polaribacter	polaribacter_dokdonensis
Zotu201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	bacteria	pseudomonadota	alphaproteobacteria	rickettsiales	rickettsiaceae	orientia	orientia_tsutsugamushi
Zotu203	0	0	0	0	0	0	0	0	0	0	1	15	3	3	0	21	0	59	43	2	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	ralstonia	ralstonia_syzygii
Zotu204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	bacteria	pseudomonadota	betaproteobacteria	rhodocyclales	zoogloeaceae	azoarcus	azoarcus_indigens
Zotu205	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	moraxellales	moraxellaceae	acinetobacter	acinetobacter_ursingii
Zotu206	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	bacteria	bacillota	clostridia	christensenellales	christensenellaceae	guopingia	guopingia_tenuis
Zotu207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	bacteria	bacillota	bacilli	bacillales	bacillalesfamilyx.incertaesedis	thermicanus	thermicanus_aegyptius
Zotu208	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	bacteria	pseudomonadota	alphaproteobacteria	rhodobacterales	roseobacteraceae	phaeobacter	phaeobacter_porticola
Zotu209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	xanthomonadales	rhodanobacteraceae	dyella	dyella_terrae
Zotu210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	bacteria	pseudomonadota	gammaproteobacteria	thiotrichales	francisellaceae	francisella	francisella_uliginis
Zotu211	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	bacteria	bacteroidota	bacteroidia	bacteroidales	prevotellaceae	prevotella	prevotella_copri
Zotu212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	bacteria	pseudomonadota	alphaproteobacteria	rhodobacterales	roseobacteraceae	pacificoceanicola	pacificoceanicola_onchidii
Zotu213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	alcaligenaceae	achromobacter	achromobacter_insolitus
Zotu214	0	0	0	0	0	0	0	0	0	1	1	8	0	1	3	0	11	7	0	1	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	ralstonia	ralstonia_syzygii
Zotu216	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	2	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	cupriavidus	cupriavidus_basilensis
Zotu217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	bacteria	cyanobacteriota	cyanophyceae	oscillatoriales	oscillatoriaceae	oscillatoria	oscillatoria_nigro_viridis
Zotu218	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	bacteria	bacillota	negativicutes	veillonellales	veillonellaceae	dialister	dialister_hominis
